Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
0.0000	1.0000	1.7840	0.56055	85.093	141.89	3.8273	0.31244	0.52185	307.86	0.78433	2.1017e-05	0.016483	vapor
10.000	1.0000	1.7207	0.58115	88.223	147.11	3.8460	0.31242	0.52172	313.46	0.73440	2.1666e-05	0.016993	vapor
20.000	1.0000	1.6618	0.60175	91.353	152.33	3.8641	0.31240	0.52161	318.96	0.68860	2.2307e-05	0.017496	vapor
30.000	1.0000	1.6068	0.62234	94.482	157.54	3.8816	0.31238	0.52151	324.37	0.64644	2.2940e-05	0.017993	vapor
40.000	1.0000	1.5554	0.64293	97.611	162.76	3.8985	0.31237	0.52142	329.68	0.60752	2.3565e-05	0.018484	vapor
50.000	1.0000	1.5071	0.66351	100.74	167.97	3.9149	0.31235	0.52134	334.91	0.57149	2.4183e-05	0.018969	vapor
60.000	1.0000	1.4618	0.68410	103.87	173.18	3.9308	0.31234	0.52127	340.06	0.53803	2.4793e-05	0.019449	vapor
70.000	1.0000	1.4191	0.70468	106.99	178.39	3.9462	0.31233	0.52121	345.14	0.50688	2.5397e-05	0.019922	vapor
80.000	1.0000	1.3788	0.72525	110.12	183.61	3.9612	0.31232	0.52115	350.13	0.47783	2.5994e-05	0.020391	vapor
90.000	1.0000	1.3408	0.74583	113.25	188.82	3.9758	0.31231	0.52110	355.06	0.45066	2.6584e-05	0.020854	vapor
100.00	1.0000	1.3048	0.76640	116.37	194.03	3.9899	0.31231	0.52105	359.92	0.42521	2.7167e-05	0.021311	vapor
110.00	1.0000	1.2707	0.78697	119.50	199.24	4.0037	0.31230	0.52100	364.72	0.40131	2.7745e-05	0.021764	vapor
120.00	1.0000	1.2383	0.80754	122.62	204.45	4.0171	0.31229	0.52097	369.45	0.37884	2.8316e-05	0.022212	vapor
130.00	1.0000	1.2076	0.82810	125.75	209.66	4.0302	0.31229	0.52093	374.12	0.35767	2.8881e-05	0.022655	vapor
140.00	1.0000	1.1783	0.84867	128.88	214.87	4.0430	0.31228	0.52090	378.73	0.33770	2.9441e-05	0.023094	vapor
150.00	1.0000	1.1504	0.86923	132.00	220.08	4.0554	0.31228	0.52087	383.29	0.31882	2.9994e-05	0.023528	vapor
160.00	1.0000	1.1239	0.88980	135.13	225.28	4.0676	0.31227	0.52084	387.79	0.30096	3.0543e-05	0.023958	vapor
170.00	1.0000	1.0985	0.91036	138.25	230.49	4.0795	0.31227	0.52081	392.24	0.28403	3.1086e-05	0.024383	vapor
180.00	1.0000	1.0742	0.93092	141.38	235.70	4.0911	0.31227	0.52079	396.65	0.26797	3.1624e-05	0.024805	vapor
190.00	1.0000	1.0510	0.95148	144.50	240.91	4.1025	0.31226	0.52076	401.00	0.25271	3.2156e-05	0.025222	vapor
200.00	1.0000	1.0288	0.97204	147.62	246.12	4.1136	0.31226	0.52074	405.31	0.23820	3.2684e-05	0.025635	vapor
210.00	1.0000	1.0075	0.99260	150.75	251.32	4.1245	0.31226	0.52072	409.57	0.22438	3.3207e-05	0.026045	vapor
220.00	1.0000	0.98702	1.0132	153.87	256.53	4.1351	0.31226	0.52071	413.78	0.21120	3.3725e-05	0.026450	vapor
230.00	1.0000	0.96739	1.0337	157.00	261.74	4.1456	0.31225	0.52069	417.96	0.19863	3.4239e-05	0.026852	vapor
240.00	1.0000	0.94853	1.0543	160.12	266.94	4.1558	0.31225	0.52067	422.09	0.18662	3.4748e-05	0.027251	vapor
250.00	1.0000	0.93039	1.0748	163.24	272.15	4.1659	0.31225	0.52066	426.18	0.17514	3.5253e-05	0.027646	vapor
260.00	1.0000	0.91293	1.0954	166.37	277.36	4.1758	0.31225	0.52064	430.23	0.16416	3.5753e-05	0.028037	vapor
270.00	1.0000	0.89612	1.1159	169.49	282.56	4.1854	0.31225	0.52063	434.25	0.15364	3.6250e-05	0.028426	vapor
280.00	1.0000	0.87991	1.1365	172.62	287.77	4.1949	0.31225	0.52062	438.23	0.14355	3.6742e-05	0.028811	vapor
290.00	1.0000	0.86428	1.1570	175.74	292.98	4.2043	0.31224	0.52061	442.17	0.13388	3.7230e-05	0.029193	vapor
300.00	1.0000	0.84919	1.1776	178.86	298.18	4.2134	0.31224	0.52060	446.08	0.12459	3.7715e-05	0.029571	vapor
310.00	1.0000	0.83463	1.1981	181.99	303.39	4.2224	0.31224	0.52059	449.95	0.11567	3.8195e-05	0.029947	vapor
320.00	1.0000	0.82055	1.2187	185.11	308.59	4.2313	0.31224	0.52058	453.79	0.10709	3.8672e-05	0.030320	vapor
330.00	1.0000	0.80695	1.2392	188.23	313.80	4.2400	0.31224	0.52057	457.60	0.098842	3.9145e-05	0.030690	vapor
340.00	1.0000	0.79378	1.2598	191.36	319.01	4.2485	0.31224	0.52056	461.37	0.090899	3.9615e-05	0.031057	vapor
350.00	1.0000	0.78104	1.2803	194.48	324.21	4.2570	0.31224	0.52055	465.12	0.083249	4.0081e-05	0.031421	vapor
360.00	1.0000	0.76870	1.3009	197.60	329.42	4.2652	0.31224	0.52054	468.84	0.075875	4.0544e-05	0.031782	vapor
370.00	1.0000	0.75675	1.3214	200.73	334.62	4.2734	0.31223	0.52054	472.52	0.068764	4.1004e-05	0.032141	vapor
380.00	1.0000	0.74516	1.3420	203.85	339.83	4.2814	0.31223	0.52053	476.18	0.061902	4.1460e-05	0.032498	vapor
390.00	1.0000	0.73392	1.3625	206.97	345.03	4.2893	0.31223	0.52052	479.81	0.055277	4.1913e-05	0.032851	vapor
400.00	1.0000	0.72302	1.3831	210.10	350.24	4.2971	0.31223	0.52052	483.41	0.048878	4.2363e-05	0.033203	vapor
410.00	1.0000	0.71244	1.4036	213.22	355.44	4.3048	0.31223	0.52051	486.99	0.042694	4.2810e-05	0.033551	vapor
420.00	1.0000	0.70216	1.4242	216.34	360.65	4.3124	0.31223	0.52050	490.54	0.036713	4.3254e-05	0.033898	vapor
430.00	1.0000	0.69217	1.4447	219.47	365.85	4.3198	0.31223	0.52050	494.06	0.030928	4.3694e-05	0.034242	vapor
